"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"504",504,"ryan mclaren",186,132,57,1725,"77*",23,1486,116.08,0,3,14,6,146,32,8.35,10.18,"46.44",44.99,33.86,11.13,11.98,4.36,0.73,13.07,11.26,139.08,6.58,50000
"505",505,"justin ontong",133,107,21,1721,"59",20.01,1465,117.47,0,3,19,7,109,53,9.04,13.44,"27.64",43.81,25.33,18.48,11.06,4.65,0.74,16.08,13.69,137.49,4.97,62500
"506",506,"cam fletcher",93,78,29,1720,"74",35.1,1305,131.8,0,9,15,6,106,72,7.33,12.31,"18.13",49.77,24.65,25.12,13.64,4.81,0.77,22.05,16.73,166.9,5.21,25000
"509",509,"prashant chopra",60,59,8,1716,"99*",33.65,1528,112.3,0,11,15,6,165,40,7.45,9.26,"38.2",52.45,38.46,13.99,13.42,4.39,0.62,29.08,25.9,145.95,1.81,25000
"512",512,"george munsey",67,67,5,1702,"127",27.45,1182,143.99,1,10,10,7,205,72,4.27,5.77,"16.42",73.56,48.18,25.38,23.43,4.52,0.5,25.4,17.64,171.44,1.24,25000
"515",515,"andrew mcdonald",91,80,26,1699,"96",31.46,1367,124.29,0,11,11,7,129,41,8.04,10.6,"33.34",44.85,30.37,14.48,12.44,4.48,0.78,21.24,17.09,155.75,4.51,37500
"516",515,"swapnil asnodkar",73,73,2,1699,"75",23.93,1368,124.2,0,13,11,7,188,43,5.92,7.28,"31.81",59.45,44.26,15.19,16.89,4.37,0.61,23.27,18.74,148.13,2.11,12500
"518",518,"sheldon jackson",77,74,12,1690,"106",27.26,1411,119.77,1,11,10,6,159,63,6.36,8.87,"22.4",60,37.63,22.37,15.73,4.57,0.57,22.84,19.07,147.03,3.46,75000
"519",519,"brad haddin",95,89,13,1688,"76",22.21,1340,125.97,0,9,14,7,140,66,6.5,9.57,"20.3",56.64,33.18,23.46,15.37,4.64,0.65,18.97,15.06,148.18,3.96,187500
"520",520,"ben rohrer",103,90,26,1677,"64",26.2,1260,133.1,0,3,16,5,120,53,7.28,10.5,"23.77",47.59,28.62,18.96,13.73,4.61,0.81,18.63,14,159.3,5.12,62500
"530",530,"davy jacobs",83,79,13,1654,"74",25.06,1414,116.97,0,7,17,6,139,57,7.21,10.17,"24.81",54.29,33.62,20.68,13.86,4.58,0.62,20.94,17.9,142.03,3.32,12500
"531",531,"tim paine",81,75,3,1648,"91",22.89,1347,122.35,0,10,11,9,162,44,6.54,8.31,"30.61",55.34,39.32,16.02,15.29,4.43,0.65,21.97,17.96,145.23,2.95,62500
"533",533,"karim janat",106,80,16,1641,"120",25.64,1169,140.38,1,7,11,6,128,97,5.2,9.13,"12.05",66.67,31.2,35.47,19.25,4.86,0.58,20.51,14.61,166.02,4.94,62500
"539",539,"patrick kruger",82,74,8,1631,"86",24.71,1305,124.98,0,9,10,5,149,67,6.04,8.76,"19.48",61.19,36.54,24.65,16.55,4.62,0.58,22.04,17.64,149.69,2.68,25000
"543",543,"milinda siriwardana",113,103,20,1623,"90",19.55,1151,141.01,0,6,9,11,115,73,6.12,10.01,"15.77",55.33,28.34,26.99,16.33,4.78,0.75,15.76,11.17,160.56,5.38,37500
"544",543,"stuart binny",147,112,32,1623,"52",20.29,1282,126.6,0,1,20,8,116,64,7.12,11.05,"20.03",52.25,28.59,23.66,14.04,4.71,0.7,14.49,11.45,146.89,5.42,62500
"545",545,"nathan mccullum",171,135,37,1621,"76",16.54,1288,125.85,0,4,12,11,109,64,7.45,11.82,"20.13",50.59,26.9,23.69,13.43,4.74,0.72,12.01,9.54,142.39,6.44,1e+05
"549",549,"tanmay agarwal",60,58,3,1616,"97",29.38,1269,127.34,0,10,13,3,178,35,5.96,7.13,"36.26",57.05,44.06,13,16.78,4.33,0.66,27.86,21.88,156.73,1.55,25000
"550",550,"ankit lamba",55,55,5,1614,"85",32.28,1480,109.05,0,13,15,3,145,50,7.59,10.21,"29.6",54.52,35.94,18.59,13.18,4.51,0.57,29.35,26.91,141.33,1.78,25000
"553",553,"joe burns",86,81,14,1610,"81",24.03,1351,119.17,0,6,16,6,112,59,7.9,12.06,"22.9",49.81,27.83,21.99,12.66,4.69,0.68,19.88,16.68,143.2,3.83,62500
"556",556,"marco marais",66,59,11,1602,"106",33.38,1110,144.32,2,10,9,2,132,87,5.07,8.41,"12.76",65.54,32.96,32.58,19.73,4.79,0.62,27.15,18.81,177.7,3.32,25000
"559",558,"mitchell santner",156,117,49,1592,"92*",23.41,1215,131.03,0,3,11,7,110,74,6.6,11.05,"16.42",55.53,27.64,27.89,15.14,4.8,0.69,13.61,10.38,154.44,6.29,237500
"561",561,"chris jordan",302,176,71,1588,"73",15.12,1257,126.33,0,1,10,11,119,63,6.91,10.56,"19.95",53.78,29.97,23.8,14.48,4.69,0.68,9.02,7.14,141.46,7.69,450000
"562",562,"shivam dube",92,82,20,1585,"95*",25.56,1162,136.4,0,6,8,4,102,90,6.05,11.39,"12.91",59.81,25.74,34.07,16.52,4.94,0.66,19.33,14.17,161.97,5.24,5e+05
"563",563,"unmukt chand",81,79,5,1584,"125",21.41,1372,115.45,3,4,12,12,142,67,6.56,9.66,"20.48",61.24,35.86,25.38,15.23,4.64,0.53,20.05,17.37,136.86,2.14,81250
"571",571,"sherfane rutherford",98,85,18,1559,"78",23.27,1199,130.03,0,7,9,4,99,100,6.03,12.11,"11.99",63.89,25.4,38.49,16.6,5.01,0.56,18.34,14.11,153.29,5.42,125000
"573",573,"cheteshwar pujara",71,63,10,1556,"100",29.36,1387,112.18,1,9,11,4,182,27,6.64,7.62,"51.37",57.2,46.79,10.41,15.07,4.26,0.57,24.7,22.02,141.54,2.59,62500
"577",577,"will smeed",59,58,4,1546,"101",28.63,1062,145.57,1,8,12,4,141,84,4.72,7.53,"12.64",69.08,36.48,32.6,21.19,4.75,0.57,26.66,18.31,174.2,2,50000
"578",577,"tirumalasetti suman",75,72,9,1546,"100",24.54,1230,125.69,1,5,13,6,145,65,5.86,8.48,"18.92",62.74,37.52,25.23,17.07,4.62,0.56,21.47,17.08,150.23,2.9,12500
"579",577,"josh clarkson",80,72,19,1546,"78",29.17,1024,150.98,0,8,11,5,101,82,5.6,10.14,"12.49",57.96,26.13,31.82,17.87,4.9,0.77,21.47,14.22,180.15,5.75,25000
"581",581,"abhishek sharma",71,69,12,1543,"107*",27.07,1141,135.23,1,8,16,5,146,64,5.43,7.82,"17.83",62.73,37.85,24.89,18.4,4.61,0.62,22.36,16.54,162.3,2.84,812500
"586",585,"rahul tewatia",116,90,34,1534,"59",27.39,1081,141.91,0,2,18,1,139,66,5.27,7.78,"16.38",62.06,36.25,25.81,18.96,4.64,0.66,17.04,12.01,169.3,6.29,1125000
"590",590,"george linde",138,111,31,1528,"63",19.1,1144,133.57,0,3,12,5,87,72,7.2,13.15,"15.89",51.05,22.77,28.27,13.9,4.91,0.76,13.77,10.31,152.67,6.27,62500
"595",595,"shai hope",73,71,3,1521,"91",22.37,1249,121.78,0,6,14,2,120,63,6.83,10.41,"19.83",56.41,31.56,24.85,14.65,4.69,0.62,21.42,17.59,144.15,3.03,125000
"597",597,"malcolm waller",87,79,19,1513,"78",25.22,1108,136.55,0,4,13,4,113,64,6.26,9.81,"17.31",55.25,29.87,25.38,15.97,4.72,0.73,19.15,14.03,161.77,5.27,62500
"598",598,"stiaan van zyl",73,66,7,1509,"86",25.58,1272,118.63,0,9,10,3,131,40,7.44,9.71,"31.8",50.63,34.73,15.9,13.44,4.47,0.68,22.86,19.27,144.21,2.67,25000
"599",599,"james fuller",152,107,35,1508,"53",20.94,1061,142.13,0,2,11,4,94,68,6.55,11.29,"15.6",51.99,24.93,27.06,15.27,4.84,0.81,14.09,9.92,163.07,6.96,50000
"601",601,"piyush chawla",266,148,49,1506,"45",15.21,1218,123.65,0,0,9,22,129,57,6.55,9.44,"21.37",56.97,34.26,22.71,15.27,4.61,0.63,10.18,8.23,138.86,7.28,62500
"602",602,"rishi dhawan",117,93,41,1505,"65",28.94,1273,118.22,0,3,14,3,140,31,7.44,9.09,"41.06",49.57,37.21,12.36,13.43,4.36,0.69,16.18,13.69,147.17,6.25,68750
"605",605,"mahipal lomror",72,67,13,1497,"78",27.72,1212,123.51,0,8,10,3,119,55,6.97,10.18,"22.04",53.84,31.8,22.04,14.36,4.63,0.67,22.34,18.09,151.24,4.19,118750
"607",607,"matthew short",71,68,5,1488,"100",23.62,1092,136.26,1,7,13,6,117,63,6.07,9.33,"17.33",56.85,31.45,25.4,16.48,4.7,0.7,21.88,16.06,159.88,3.15,25000
"610",610,"hanuma vihari",82,81,8,1478,"81",20.25,1322,111.8,0,5,13,2,134,33,7.92,9.87,"40.06",49.66,36.27,13.4,12.63,4.4,0.64,18.25,16.32,132.05,3.72,250000
"611",610,"riyan parag",85,73,14,1478,"77",25.05,1120,131.96,0,11,6,4,102,75,6.33,10.98,"14.93",58.05,27.6,30.45,15.8,4.85,0.66,20.25,15.34,157.02,4.99,475000
"613",612,"lorcan tucker",96,88,15,1474,"84",20.19,1138,129.53,0,8,6,6,131,48,6.36,8.69,"23.71",55.09,35.55,19.54,15.73,4.54,0.69,16.75,12.93,149.72,4.77,62500
"617",617,"akshath reddy",69,68,7,1468,"105",24.07,1192,123.15,1,5,15,5,123,50,6.89,9.69,"23.84",53.95,33.52,20.44,14.51,4.58,0.66,21.59,17.53,147.22,2.34,25000
"619",619,"rajat patidar",45,44,5,1466,"112",37.59,991,147.93,1,12,9,3,117,72,5.24,8.47,"13.76",61.39,31.92,29.47,19.07,4.76,0.71,33.32,22.52,185.52,2.8,25000
"620",620,"jonathan carter",90,77,9,1463,"111",21.51,1385,105.63,1,6,13,7,98,63,8.6,14.13,"21.98",52.63,26.79,25.84,11.62,4.78,0.57,19,17.99,127.15,4.49,62500
"624",624,"karn sharma",155,105,28,1460,"67",18.96,1167,125.11,0,2,11,6,105,64,6.91,11.11,"18.23",55.07,28.77,26.3,14.48,4.76,0.66,13.9,11.11,144.07,6.45,62500
"631",631,"wanindu hasaranga",143,108,24,1450,"77",17.26,1057,137.18,0,5,8,11,143,40,5.78,7.39,"26.43",56,39.45,16.55,17.31,4.44,0.73,13.43,9.79,154.44,6.54,1343750
"643",641,"james hopes",90,77,14,1439,"71",22.84,1154,124.7,0,10,6,3,166,22,6.14,6.95,"52.45",55.32,46.14,9.17,16.29,4.23,0.67,18.69,14.99,147.54,3.74,1250
"646",646,"harbhajan singh",263,151,50,1436,"78*",14.22,1119,128.33,0,2,6,18,132,71,5.51,8.48,"15.76",66.43,36.77,29.67,18.14,4.7,0.53,9.51,7.41,142.55,7.24,250000
"658",658,"lahiru thirimanne",81,71,8,1413,"70",22.43,1196,118.14,0,5,14,3,110,40,7.97,10.87,"29.9",48.12,31.14,16.99,12.54,4.53,0.7,19.9,16.85,140.57,4.32,37500
"661",661,"rinku singh",77,70,18,1403,"79",26.98,1009,139.05,0,7,12,4,108,63,5.9,9.34,"16.02",57.73,30.79,26.94,16.95,4.74,0.71,20.04,14.41,166.03,5.29,68750
"670",670,"venugopal rao",83,71,12,1390,"71",23.56,1142,121.72,0,7,10,4,107,50,7.27,10.67,"22.84",52.37,30.79,21.58,13.75,4.64,0.67,19.58,16.08,145.28,5.14,68750
"671",671,"steven crook",131,102,27,1388,"63",18.51,1043,133.08,0,3,7,12,106,59,6.32,9.84,"17.68",56.05,30.55,25.5,15.82,4.72,0.69,13.61,10.23,151.58,5.59,37500
"683",681,"dimitri mascarenhas",130,100,29,1356,"57",19.1,1065,127.32,0,3,12,13,90,52,7.5,11.83,"20.48",49.56,26.55,23.01,13.33,4.73,0.74,13.56,10.65,146.42,6.5,62500
"684",684,"vivek singh",54,52,7,1351,"100",30.02,1014,133.23,1,8,9,1,134,59,5.25,7.57,"17.19",65.88,39.67,26.2,19.03,4.61,0.56,25.98,19.5,163.26,2.81,25000
"686",686,"robert quiney",82,76,3,1349,"97",18.48,1106,121.97,0,7,8,14,118,57,6.32,9.37,"19.4",60.34,34.99,25.35,15.82,4.65,0.57,17.75,14.55,140.45,2.74,125000
"697",696,"manvinder bisla",65,64,3,1324,"92",21.7,1196,110.7,0,6,7,4,143,35,6.72,8.36,"34.17",59.06,43.2,15.86,14.88,4.39,0.53,20.69,18.69,132.41,1.91,75000
"703",703,"tom curran",171,100,35,1316,"62",20.25,948,138.82,0,3,9,3,117,45,5.85,8.1,"21.07",56.08,35.56,20.52,17.09,4.56,0.74,13.16,9.48,159.06,6.9,656250
"708",708,"apoorv wankhade",70,65,20,1295,"71",28.78,973,133.09,0,2,13,3,77,57,7.26,12.64,"17.07",50.19,23.78,26.41,13.77,4.85,0.77,19.92,14.97,161.87,5.51,37500
"710",710,"abhishek nayar",95,80,20,1291,"79",21.52,1043,123.78,0,3,9,8,107,49,6.69,9.75,"21.29",55.93,33.15,22.77,14.96,4.63,0.64,16.14,13.04,145.29,4.96,125000
"717",717,"hashmatullah shahidi",45,42,12,1281,"97*",42.7,1046,122.47,0,11,7,2,133,34,6.26,7.86,"30.76",57.46,41.53,15.93,15.97,4.41,0.62,30.5,24.9,165.17,3.71,62500
"722",722,"rohan prem",57,53,8,1275,"92",28.33,1121,113.74,0,6,14,5,115,25,8.01,9.75,"44.84",47.84,36.08,11.76,12.49,4.36,0.68,24.06,21.15,142.07,3.79,25000
"724",723,"faiz fazal",66,64,3,1273,"66",20.87,1199,106.17,0,4,11,5,121,19,8.56,9.91,"63.11",46.98,38.02,8.96,11.68,4.27,0.64,19.89,18.73,127.04,2.13,62500
"728",728,"ricky bhui",56,53,11,1263,"108*",30.07,955,132.25,1,7,10,6,84,67,6.32,11.37,"14.25",58.43,26.6,31.83,15.81,4.89,0.65,23.83,18.02,162.32,3.94,25000
"729",729,"isuru udana",196,125,45,1257,"84",15.71,968,129.86,0,1,5,12,70,69,6.96,13.83,"14.03",55.21,22.28,32.94,14.36,4.99,0.68,10.06,7.74,145.57,7.82,62500
"731",731,"rajat bhatia",146,95,37,1251,"107",21.57,1079,115.94,1,1,9,7,85,43,8.43,12.69,"25.09",47.8,27.18,20.62,11.86,4.67,0.69,13.17,11.36,137.51,6.26,75000
"732",732,"ryan rickelton",65,58,2,1249,"91",22.3,1006,124.16,0,6,10,1,117,42,6.33,8.6,"23.95",57.65,37.47,20.18,15.81,4.53,0.62,21.53,17.34,146.46,1.72,25000
"740",739,"mohammad kaif",75,68,11,1237,"70",21.7,1201,103,0,7,7,6,117,26,8.4,10.27,"46.19",50.44,37.83,12.61,11.91,4.36,0.58,18.19,17.66,124.7,3.72,37500
"745",745,"luke pomersbach",56,54,7,1228,"112",26.13,946,129.81,1,5,8,2,122,46,5.63,7.75,"20.57",62.22,39.74,22.48,17.76,4.55,0.6,22.74,17.52,155.94,2.91,3e+05
"749",748,"robin peterson",139,96,22,1223,"72",16.53,1094,111.79,0,3,7,8,124,28,7.2,8.82,"39.07",54.29,40.56,13.74,13.89,4.37,0.59,12.74,11.4,128.32,5.35,62500
"754",754,"ashwin hebbar",45,43,7,1217,"103",33.81,952,127.84,1,8,9,5,124,42,5.73,7.68,"22.67",61.46,40.76,20.71,17.44,4.51,0.6,28.3,22.14,161.64,2.4,25000
"758",758,"vernon philander",124,89,45,1211,"56",27.52,882,137.3,0,1,11,4,63,53,7.6,14,"16.64",47.07,20.81,26.26,13.15,4.91,0.84,13.61,9.91,164.82,6.9,62500
"763",763,"bipul sharma",106,77,26,1203,"79",23.59,868,138.59,0,3,10,9,81,55,6.38,10.72,"15.78",54.36,26.93,27.43,15.67,4.81,0.75,15.62,11.27,162.18,6.25,25000
"772",772,"amandeep khare",41,38,9,1194,"90",41.17,968,123.35,0,7,10,1,102,37,6.96,9.49,"26.16",52.76,34.17,18.59,14.36,4.53,0.68,31.42,25.47,164.52,3.37,25000
"775",775,"vishnu vinod",51,46,10,1191,"71",33.08,858,138.81,0,7,11,1,96,64,5.36,8.94,"13.41",64.48,32.24,32.24,18.65,4.8,0.61,25.89,18.65,171.89,2.5,25000
"777",777,"nathan reardon",74,65,8,1188,"56",20.84,964,123.24,0,4,15,9,82,52,7.19,11.76,"18.54",53.87,27.61,26.26,13.9,4.78,0.66,18.28,14.83,144.08,4.43,62500
"778",778,"akshdeep nath",82,72,17,1183,"70*",21.51,1053,112.35,0,3,11,6,98,30,8.23,10.74,"35.1",48.35,33.14,15.22,12.16,4.47,0.66,16.43,14.63,133.85,4.51,450000
"779",779,"srikkanth anirudha",68,58,10,1182,"77",24.63,959,123.25,0,7,11,5,113,44,6.11,8.49,"21.8",60.58,38.24,22.34,16.37,4.56,0.58,20.38,16.53,147.88,2.66,25000
"780",780,"ashton agar",140,100,28,1179,"68",16.38,1028,114.69,0,1,7,9,80,45,8.22,12.85,"22.84",50.04,27.14,22.9,12.16,4.72,0.65,11.79,10.28,131.06,6.16,250000
"786",786,"govinda poddar",44,44,4,1171,"64",29.28,942,124.31,0,7,9,2,114,29,6.59,8.26,"32.48",53.8,38.94,14.86,15.18,4.41,0.68,26.61,21.41,153.59,3.41,25000
"788",787,"mithun manhas",91,72,18,1170,"52",21.67,1119,104.56,0,1,12,6,102,21,9.1,10.97,"53.29",45.64,34.87,10.77,10.99,4.34,0.64,16.25,15.54,126.22,4.88,37500
"793",793,"max bryant",57,57,2,1164,"81",21.16,873,133.33,0,4,12,2,131,40,5.11,6.66,"21.83",65.64,45.02,20.62,19.59,4.47,0.57,20.42,15.32,154.5,1.96,25000
"796",795,"christopher barnwell",94,81,17,1160,"88*",18.13,986,117.65,0,2,7,6,68,56,7.95,14.5,"17.61",52.41,23.45,28.97,12.58,4.9,0.64,14.32,12.17,135.77,5.62,50000
"804",804,"mahesh rawat",62,54,20,1153,"72",33.91,940,122.66,0,9,7,4,111,25,6.91,8.47,"37.6",51.52,38.51,13.01,14.47,4.37,0.7,21.35,17.41,156.57,5.04,25000
"810",810,"biplab samantray",71,65,8,1146,"102",20.11,979,117.06,1,4,10,8,88,34,8.02,11.13,"28.79",48.52,30.72,17.8,12.46,4.56,0.69,17.63,15.06,137.16,4.58,12500
"811",810,"rahkeem cornwall",66,61,5,1146,"91",20.46,777,147.49,0,5,10,3,96,85,4.29,8.09,"9.14",78.01,33.51,44.5,23.29,4.94,0.42,18.79,12.74,167.95,2.9,125000
"812",812,"daniel sams",123,97,22,1141,"98*",15.21,763,149.54,0,5,6,12,65,76,5.41,11.74,"10.04",62.75,22.79,39.96,18.48,5.08,0.68,11.76,7.87,164.75,6.18,93750
"818",818,"yashasvi jaiswal",49,47,1,1133,"68",24.63,841,134.72,0,6,12,3,135,42,4.75,6.23,"20.02",69.9,47.66,22.24,21.05,4.47,0.51,24.11,17.89,159.35,1.81,3e+05
"829",829,"kurtis patterson",57,53,2,1114,"78",21.84,931,119.66,0,4,7,1,99,27,7.39,9.4,"34.48",50.09,35.55,14.54,13.53,4.43,0.69,21.02,17.57,141.5,2.19,62500
"830",830,"jason smith",64,53,11,1113,"79",26.5,920,120.98,0,3,14,1,69,33,9.02,13.33,"27.88",42.59,24.8,17.79,11.09,4.65,0.78,21,17.36,147.48,4.81,25000
"831",831,"milind kumar",53,48,12,1112,"64",30.89,989,112.44,0,6,8,1,104,21,7.91,9.51,"47.1",48.74,37.41,11.33,12.64,4.34,0.66,23.17,20.6,143.33,4.73,25000
"832",832,"prashant gupta",37,36,3,1111,"102",33.67,917,121.16,1,5,14,1,125,26,6.07,7.34,"35.27",59.05,45,14.04,16.47,4.34,0.59,30.86,25.47,154.82,1.67,12500
"834",832,"jacob oram",105,85,18,1111,"66",16.58,881,126.11,0,4,5,6,80,55,6.53,11.01,"16.02",58.51,28.8,29.7,15.32,4.81,0.62,13.07,10.36,142.69,6.05,50000
"836",835,"chaitanya bishnoi",46,46,7,1110,"78",28.46,956,116.11,0,7,10,2,112,29,6.78,8.54,"32.97",56.04,40.36,15.68,14.75,4.41,0.6,24.13,20.78,144.57,2,25000
"841",841,"parth sahani",51,47,14,1101,"90*",33.36,884,124.55,0,4,10,2,80,42,7.25,11.05,"21.05",51.95,29.06,22.89,13.8,4.69,0.69,23.43,18.81,157.91,4.81,25000
"842",841,"matthew breetzke",49,45,6,1101,"80",28.23,844,130.45,0,8,5,3,114,32,5.78,7.4,"26.38",58.86,41.42,17.44,17.3,4.44,0.65,24.47,18.76,158.68,2.16,25000
"845",843,"chris green",183,116,43,1100,"50",15.07,863,127.46,0,1,6,8,84,30,7.57,10.27,"28.77",46.91,30.55,16.36,13.21,4.53,0.78,9.48,7.44,142.53,7.53,25000
"855",853,"ashok menaria",72,63,5,1085,"77",18.71,938,115.67,0,4,8,7,85,43,7.33,11.04,"21.81",55.12,31.34,23.78,13.65,4.67,0.6,17.22,14.89,134.38,4.08,25000
"856",856,"danza hyatt",62,57,9,1082,"89",22.54,1035,104.54,0,4,6,5,74,45,8.7,13.99,"23",52.31,27.36,24.95,11.5,4.76,0.56,18.98,18.16,127.08,3.91,37500
"857",857,"chirag gandhi",65,54,17,1080,"68",29.19,893,120.94,0,6,8,3,86,31,7.63,10.38,"28.81",49.07,31.85,17.22,13.1,4.53,0.71,20,16.54,150.13,5.04,25000
"859",858,"sarfaraz khan",82,64,17,1079,"67",22.96,832,129.69,0,3,13,6,109,28,6.07,7.63,"29.71",55.98,40.41,15.57,16.47,4.41,0.68,16.86,13,152.64,5.14,25000
"868",867,"ravichandran ashwin",299,120,48,1068,"50",14.83,897,119.06,0,1,7,11,90,33,7.29,9.97,"27.18",52.25,33.71,18.54,13.71,4.54,0.66,8.9,7.48,133.9,7.59,950000
"874",874,"baba aparajith",56,47,11,1063,"67",29.53,971,109.47,0,4,11,4,70,30,9.71,13.87,"32.37",43.27,26.34,16.93,10.3,4.6,0.69,22.62,20.66,139,3.32,12500
"877",877,"taruwar kohli",57,54,11,1057,"90",24.58,1035,102.13,0,7,5,3,101,21,8.48,10.25,"49.29",50.14,38.22,11.92,11.79,4.34,0.58,19.57,19.17,126.71,3.65,12500
"878",877,"harshal patel",162,93,26,1057,"82",15.78,722,146.4,0,3,8,12,105,60,4.38,6.88,"12.03",73.79,39.74,34.06,22.85,4.73,0.5,11.37,7.76,162.18,6.17,1343750
"879",879,"dewald brevis",44,42,3,1055,"162",27.05,744,141.8,1,2,12,3,71,73,5.17,10.48,"10.19",68.44,26.92,41.52,19.35,5.01,0.56,25.12,17.71,168.85,2.38,375000
"895",895,"washington sundar",118,75,20,1036,"54",18.84,850,121.88,0,3,11,6,78,36,7.46,10.9,"23.61",50.97,30.12,20.85,13.41,4.63,0.69,13.81,11.33,140.72,5.76,1093750
"900",900,"himanshu rana",45,44,3,1032,"87*",25.17,849,121.55,0,8,4,1,119,23,5.98,7.13,"36.91",59.5,46.12,13.37,16.73,4.32,0.59,23.45,19.3,146.73,3.05,25000
"902",902,"rohan kadam",29,28,3,1027,"89",41.08,804,127.74,0,9,7,2,116,27,5.62,6.93,"29.78",60.95,45.18,15.77,17.79,4.38,0.61,36.68,28.71,168.82,1.57,25000
"906",906,"doug bracewell",82,61,24,1021,"55",27.59,691,147.76,0,2,13,3,58,61,5.81,11.91,"11.33",58.57,22.72,35.85,17.22,5.03,0.74,16.74,11.33,175.35,7.1,62500
"922",922,"rory kleinveldt",162,111,36,995,"46",13.27,660,150.76,0,0,5,15,52,72,5.32,12.69,"9.17",64.32,20.9,43.42,18.79,5.16,0.66,8.96,5.95,164.02,7.06,62500
"925",923,"rajat paliwal",56,53,9,994,"64",22.59,892,111.44,0,2,6,0,81,6,10.25,11.01,"148.67",36.22,32.6,3.62,9.75,4.14,0.79,18.75,16.83,134.03,4.23,25000
"934",933,"abdul samad",56,48,15,982,"76*",29.76,676,145.27,0,4,9,4,62,60,5.54,10.9,"11.27",61.91,25.25,36.66,18.05,4.98,0.68,20.46,14.08,175.02,4.77,25000
"936",936,"marcus harris",50,49,1,981,"85",20.44,806,121.71,0,4,8,1,106,27,6.06,7.6,"29.85",59.74,43.22,16.51,16.5,4.41,0.59,20.02,16.45,142.15,1.65,25000
"938",938,"marnus labuschagne",40,38,2,978,"93",27.17,777,125.87,0,5,7,2,85,21,7.33,9.14,"37",47.65,34.76,12.88,13.64,4.4,0.76,25.74,20.45,153.04,3.66,125000
"945",943,"vishnu solanki",48,42,10,968,"71*",30.25,779,124.26,0,5,8,3,78,34,6.96,9.99,"22.91",53.31,32.23,21.07,14.38,4.61,0.68,23.05,18.55,154.51,4.4,25000
"956",956,"adrian barath",43,43,4,962,"68",24.67,898,107.13,0,6,7,3,91,26,7.68,9.87,"34.54",54.05,37.84,16.22,13.03,4.44,0.57,22.37,20.88,131.79,2.07,37500
"963",963,"rajesh bishnoi",57,53,5,956,"87",19.92,690,138.55,0,5,5,6,67,61,5.39,10.3,"11.31",66.32,28.03,38.28,18.55,4.95,0.57,18.04,13.02,158.47,4.89,25000
"964",964,"thikshila de silva",59,55,4,953,"72",18.69,633,150.55,0,5,6,7,88,53,4.49,7.19,"11.94",70.3,36.94,33.37,22.27,4.75,0.58,17.33,11.51,169.24,3.73,37500
"965",965,"manprit juneja",44,41,8,952,"108",28.85,752,126.6,1,4,9,3,93,17,6.84,8.09,"44.24",49.79,39.08,10.71,14.63,4.31,0.74,23.22,18.34,155.44,3.51,12500
"968",968,"pratham singh",34,34,2,948,"89",29.63,757,125.23,0,7,6,1,97,24,6.26,7.8,"31.54",56.12,40.93,15.19,15.98,4.4,0.65,27.88,22.26,154.86,1.82,25000
"969",968,"farveez maharoof",98,73,20,948,"55",17.89,804,117.91,0,1,9,5,66,37,7.81,12.18,"21.73",51.27,27.85,23.42,12.81,4.72,0.66,12.99,11.01,135.8,6.36,62500
"972",971,"chirag suri",36,36,3,946,"88",28.67,806,117.37,0,8,3,2,95,23,6.83,8.48,"35.04",54.76,40.17,14.59,14.64,4.39,0.62,26.28,22.39,146.04,1.58,12500
"976",974,"naushad shaikh",45,43,10,942,"78",28.55,761,123.78,0,5,8,3,82,21,7.39,9.28,"36.24",48.2,34.82,13.38,13.53,4.41,0.74,21.91,17.7,152.33,4.16,25000
"978",977,"tim ludeman",55,44,8,941,"92",26.14,773,121.73,0,5,5,1,89,29,6.55,8.69,"26.66",56.32,37.83,18.49,15.27,4.49,0.63,21.39,17.57,147.87,2.82,37500
"980",980,"nicky boje",99,68,26,937,"58",22.31,783,119.67,0,3,7,5,95,9,7.53,8.24,"87",46.32,40.56,5.76,13.28,4.17,0.74,13.78,11.51,141.98,5.74,62500
"982",982,"jay bista",29,29,4,936,"92",37.44,687,136.24,0,7,7,4,109,29,4.98,6.3,"23.69",65.17,46.58,18.59,20.09,4.42,0.59,32.28,23.69,173.68,1.41,25000
"984",983,"fabian allen",92,72,21,935,"64",18.33,661,141.45,0,3,9,11,65,60,5.29,10.17,"11.02",66.31,27.81,38.5,18.91,4.96,0.59,12.99,9.18,159.79,6.72,93750
"997",996,"eklavya dwivedi",48,39,12,923,"89",34.19,743,124.23,0,4,9,3,95,27,6.09,7.82,"27.52",58.72,41.17,17.55,16.42,4.44,0.61,23.67,19.05,158.41,3.9,93750
"998",998,"roston chase",47,43,11,922,"85",28.81,757,121.8,0,6,8,3,73,34,7.07,10.37,"22.26",53.8,31.67,22.13,14.13,4.64,0.66,21.44,17.6,150.61,4.72,125000
"999",999,"nikhil naik",55,47,14,921,"95",27.91,721,127.74,0,6,4,3,61,42,7,11.82,"17.17",53.85,26.49,27.36,14.29,4.82,0.69,19.6,15.34,155.65,5.3,25000
"1006",1006,"shrikant mundhe",51,46,11,914,"91",26.11,745,122.68,0,6,6,1,84,26,6.77,8.87,"28.65",53.83,36.76,17.07,14.77,4.47,0.66,19.87,16.2,148.8,5.52,25000
